"Source","Target","Type","Weight","CountEither","CountBoth"
3071,3081,"Undirected",0.131756756756757,296,39
2920,3081,"Undirected",0.065,600,39
2930,3081,"Undirected",0.0902777777777778,432,39
2961,3081,"Undirected",0.127450980392157,306,39
3070,3080,"Undirected",0.987841945288754,329,325
2921,3080,"Undirected",0.073394495412844,327,24
2920,3080,"Undirected",0.462145110410095,634,293
2931,3080,"Undirected",0.593373493975904,332,197
2930,3080,"Undirected",0.206677265500795,629,130
2961,3080,"Undirected",0.00635930047694754,629,4
2960,3080,"Undirected",0.969788519637462,331,321
3081,3571,"Undirected",0.125,312,39
3080,3571,"Undirected",0.0207667731629393,626,13
3071,3571,"Undirected",0.917981072555205,317,291
3070,3571,"Undirected",0.0224,625,14
3101,3571,"Undirected",0.900311526479751,321,289
3100,3571,"Undirected",0.0128,625,8
3091,3571,"Undirected",0.921630094043887,319,294
3090,3571,"Undirected",0.0128,625,8
3121,3571,"Undirected",0.944444444444444,324,306
3120,3571,"Undirected",0.00161030595813205,621,1
3111,3571,"Undirected",0.893081761006289,318,284
3110,3571,"Undirected",0.0144,625,9
3131,3571,"Undirected",0.0112540192926045,622,7
3130,3571,"Undirected",0.921630094043887,319,294
2921,3571,"Undirected",0.00298507462686567,335,1
2920,3571,"Undirected",0.514950166112957,602,310
2931,3571,"Undirected",0.0138067061143984,507,7
2930,3571,"Undirected",0.690909090909091,440,304
2961,3571,"Undirected",0.913312693498452,323,295
2960,3571,"Undirected",0.0192,625,12
3541,3571,"Undirected",0.0146520146520147,546,8
3540,3571,"Undirected",0.753117206982544,401,302
3331,3571,"Undirected",0.0106194690265487,565,6
3330,3571,"Undirected",0.898148148148148,324,291
3461,3571,"Undirected",0.892744479495268,317,283
3460,3571,"Undirected",0.0111287758346582,629,7
3321,3571,"Undirected",0.298076923076923,312,93
3320,3571,"Undirected",0.00480769230769231,624,3
3311,3571,"Undirected",0.919254658385093,322,296
3310,3571,"Undirected",0.0176565008025682,623,11
3451,3571,"Undirected",0.752380952380952,315,237
3450,3571,"Undirected",0.0143769968051118,626,9
3471,3571,"Undirected",0.586744639376218,513,301
3080,3570,"Undirected",0.898507462686567,335,301
3071,3570,"Undirected",0.0033167495854063,603,2
3070,3570,"Undirected",0.887240356083086,337,299
3101,3570,"Undirected",0.00165016501650165,606,1
3100,3570,"Undirected",0.932515337423313,326,304
3090,3570,"Undirected",0.938461538461538,325,305
3121,3570,"Undirected",0.00642054574638844,623,4
3120,3570,"Undirected",0.940438871473354,319,300
3110,3570,"Undirected",0.923780487804878,328,303
3131,3570,"Undirected",0.908536585365854,328,298
3130,3570,"Undirected",0.0066006600660066,606,4
2921,3570,"Undirected",0.0741935483870968,310,23
2920,3570,"Undirected",0.436018957345972,633,276
2931,3570,"Undirected",0.553191489361702,329,182
2930,3570,"Undirected",0.202922077922078,616,125
2961,3570,"Undirected",0.0115131578947368,608,7
2960,3570,"Undirected",0.898203592814371,334,300
3541,3570,"Undirected",0.66969696969697,330,221
3540,3570,"Undirected",0.138211382113821,615,85
3331,3570,"Undirected",0.731707317073171,328,240
3330,3570,"Undirected",0.0149253731343284,603,9
3461,3570,"Undirected",0.00336134453781513,595,2
3460,3570,"Undirected",0.918181818181818,330,303
3320,3570,"Undirected",0.92,325,299
3311,3570,"Undirected",0.00985221674876847,609,6
3310,3570,"Undirected",0.894894894894895,333,298
3451,3570,"Undirected",0.00182481751824818,548,1
3450,3570,"Undirected",0.909365558912387,331,301
3471,3570,"Undirected",0.299679487179487,624,187
3470,3570,"Undirected",0.0647249190938511,309,20
3080,3581,"Undirected",0.483383685800604,331,160
3570,3581,"Undirected",0.525806451612903,310,163
3071,3581,"Undirected",0.00217864923747277,459,1
3070,3581,"Undirected",0.474474474474474,333,158
3100,3581,"Undirected",0.501547987616099,323,162
3090,3581,"Undirected",0.501547987616099,323,162
3121,3581,"Undirected",0.00207900207900208,481,1
3120,3581,"Undirected",0.509554140127389,314,160
3110,3581,"Undirected",0.495384615384615,325,161
3131,3581,"Undirected",0.507836990595611,319,162
3130,3581,"Undirected",0.0021551724137931,464,1
2921,3581,"Undirected",0.0930232558139535,172,16
2920,3581,"Undirected",0.228295819935691,622,142
2931,3581,"Undirected",0.236486486486486,296,70
2930,3581,"Undirected",0.184890656063618,503,93
2961,3581,"Undirected",0.010752688172043,465,5
2960,3581,"Undirected",0.481818181818182,330,159
3541,3581,"Undirected",0.305466237942122,311,95
3540,3581,"Undirected",0.139630390143737,487,68
3331,3581,"Undirected",0.368932038834951,309,114
3330,3581,"Undirected",0.00646551724137931,464,3
3461,3581,"Undirected",0.00221729490022173,451,1
3460,3581,"Undirected",0.492354740061162,327,161
